len data posf 51539
len connection type 11

conn type
--- mss: count  %

MOB
--- 1400: 1199  0.187256
--- 1460: 1109  0.173200
--- 1380: 667  0.104170
--- 1360: 493  0.076995
--- 1370: 390  0.060909
--- 1452: 388  0.060597
--- 1388: 381  0.059503
--- 1300: 348  0.054350
--- 1420: 256  0.039981
--- 1260: 216  0.033734
--- 1440: 153  0.023895
--- 1412: 94  0.014681
--- 1410: 72  0.011245
--- 1344: 69  0.010776
--- 1340: 63  0.009839
--- 1342: 60  0.009371
--- 1376: 59  0.009214
--- 1220: 45  0.007028
--- 1330: 40  0.006247
--- 1432: 33  0.005154
--- 1424: 29  0.004529
--- 1352: 29  0.004529
--- 1382: 21  0.003280
--- 1384: 20  0.003124
--- 1310: 20  0.003124
--- 1280: 17  0.002655
--- 1339: 15  0.002343
--- 1390: 15  0.002343
--- 1394: 13  0.002030
--- 1350: 11  0.001718
--- 1358: 11  0.001718
--- 1200: 11  0.001718
--- 1409: 7  0.001093
--- 1240: 6  0.000937
--- 1422: 5  0.000781
--- 1398: 5  0.000781
--- 1318: 3  0.000469
--- 1416: 3  0.000469
--- 1100: 3  0.000469
--- 1430: 3  0.000469
--- 1392: 2  0.000312
--- 1389: 2  0.000312
--- 1292: 2  0.000312
--- 1346: 2  0.000312
--- 1348: 2  0.000312
--- 1418: 2  0.000312
--- 1320: 1  0.000156
--- 1288: 1  0.000156
--- 1450: 1  0.000156
--- 1456: 1  0.000156
--- 1386: 1  0.000156
--- 1438: 1  0.000156
--- 1334: 1  0.000156
--- 1210: 1  0.000156
--- 1356: 1  0.000156
EDU
--- 1460: 52  0.368794
--- 1250: 24  0.170213
--- 1386: 24  0.170213
--- 1380: 15  0.106383
--- 1300: 6  0.042553
--- 1346: 3  0.021277
--- 1360: 3  0.021277
--- 1420: 2  0.014184
--- 1280: 2  0.014184
--- 1412: 1  0.007092
--- 1396: 1  0.007092
--- 1452: 1  0.007092
--- 1260: 1  0.007092
--- 1379: 1  0.007092
--- 1375: 1  0.007092
--- 1440: 1  0.007092
--- 1200: 1  0.007092
--- 1286: 1  0.007092
---  986: 1  0.007092
ORG
--- 1460: 6  0.545455
--- 1440: 3  0.272727
--- 1401: 1  0.090909
--- 1452: 1  0.090909
GOV
--- 1460: 25  0.781250
--- 1400: 2  0.062500
--- 1360: 2  0.062500
--- 1412: 1  0.031250
--- 1386: 1  0.031250
--- 1440: 1  0.031250
SES
--- 1430: 3  0.750000
--- 1460: 1  0.250000
ISP/MOB
--- 1452: 3809  0.239816
--- 1460: 3744  0.235724
--- 1400: 2098  0.132091
--- 1412: 1177  0.074104
--- 1360: 976  0.061449
--- 1420: 944  0.059435
--- 1340: 487  0.030662
--- 1300: 445  0.028017
--- 1440: 412  0.025940
--- 1380: 344  0.021658
--- 1310: 196  0.012340
--- 1410: 178  0.011207
--- 1318: 174  0.010955
--- 1448: 101  0.006359
--- 1280: 76  0.004785
--- 1339: 75  0.004722
--- 1350: 72  0.004533
--- 1370: 55  0.003463
--- 1408: 44  0.002770
--- 1416: 41  0.002581
--- 1200: 37  0.002330
--- 1320: 37  0.002330
--- 1432: 34  0.002141
--- 1390: 34  0.002141
--- 1356: 33  0.002078
--- 1388: 25  0.001574
--- 1220: 22  0.001385
--- 1436: 19  0.001196
--- 1394: 13  0.000818
--- 1414: 11  0.000693
--- 1424: 11  0.000693
--- 1330: 11  0.000693
--- 1100: 10  0.000630
--- 1382: 9  0.000567
--- 1344: 9  0.000567
--- 1358: 8  0.000504
--- 1362: 8  0.000504
--- 1392: 7  0.000441
--- 1236: 6  0.000378
--- 1450: 6  0.000378
--- 1260: 6  0.000378
--- 1372: 5  0.000315
--- 1398: 5  0.000315
--- 1402: 5  0.000315
--- 1418: 5  0.000315
--- 1428: 4  0.000252
--- 1240: 4  0.000252
--- 1442: 4  0.000252
--- 1384: 3  0.000189
--- 1368: 3  0.000189
--- 1434: 3  0.000189
--- 1338: 3  0.000189
--- 1250: 3  0.000189
--- 1364: 2  0.000126
--- 1456: 2  0.000126
--- 1206: 2  0.000126
--- 1444: 2  0.000126
--- 1386: 2  0.000126
--- 1426: 2  0.000126
--- 1352: 2  0.000126
---  966: 2  0.000126
--- 1210: 2  0.000126
--- 1312: 1  0.000063
--- 1464: 1  0.000063
--- 1437: 1  0.000063
--- 1404: 1  0.000063
--- 1272: 1  0.000063
--- 1332: 1  0.000063
--- 1329: 1  0.000063
--- 1302: 1  0.000063
--- 8134: 1  0.000063
--- 1252: 1  0.000063
--- 1423: 1  0.000063
--- 1374: 1  0.000063
--- 1336: 1  0.000063
---  536: 1  0.000063
ISP
--- 1460: 8162  0.550928
--- 1452: 2082  0.140533
--- 1440: 1052  0.071009
--- 1412: 1000  0.067499
--- 1400: 796  0.053729
--- 1420: 418  0.028215
--- 1360: 318  0.021465
--- 1446: 116  0.007830
--- 1436: 116  0.007830
--- 1352: 95  0.006412
--- 1410: 65  0.004387
--- 1380: 60  0.004050
--- 1430: 55  0.003712
--- 1418: 54  0.003645
--- 1310: 42  0.002835
--- 1300: 32  0.002160
--- 1458: 29  0.001957
--- 1414: 27  0.001822
--- 1390: 19  0.001282
--- 1422: 18  0.001215
--- 1392: 16  0.001080
--- 1370: 16  0.001080
--- 1448: 16  0.001080
--- 1426: 10  0.000675
--- 1432: 10  0.000675
--- 1200: 10  0.000675
--- 1444: 8  0.000540
--- 1394: 8  0.000540
--- 1402: 8  0.000540
--- 1386: 7  0.000472
--- 1100: 7  0.000472
--- 1388: 7  0.000472
--- 1340: 7  0.000472
--- 1350: 7  0.000472
--- 1250: 7  0.000472
--- 1404: 7  0.000472
--- 1398: 6  0.000405
--- 1434: 6  0.000405
--- 1408: 5  0.000337
--- 1456: 5  0.000337
--- 1332: 4  0.000270
--- 1260: 4  0.000270
--- (77)0: 4  0.000270
--- 1194: 4  0.000270
--- 1320: 4  0.000270
--- 1442: 4  0.000270
--- 1240: 4  0.000270
--- 1201: 4  0.000270
